562,1922,994,['Ignacio Corsini'],442,174453,177,0,4sAPfFxCxKIF571z6JwL4r,0.0008960000000000002,9,491,-19632,1,De Mil Amores - Remasterizado,0,1922-03-29,0.0571,128395,
413,1922,996,['Ignacio Corsini'],0.45,190653,0.0522,0,4vRhdBugLI9JQGsx3UfrAt,929,1,158,-29357,0,Cachonguita - Remasterizado,0,1922-03-21,0.0583,72.40100000000002,
105,1922,199,['Uli'],657,40000,325,0,4vV7uBcF2AnjNTOejBS5oL,856,10,0.0931,-14319,0,L'enfer,0,1922-02-22,254,81944,
0.6829999999999999,1922,996,['Ignacio Corsini'],493,155653,0.0763,0,4xDAzKsPZg7kMOhsnXHOO7,909,4,0.16899999999999998,-25.843000000000004,1,Metejón - Remasterizado,0,1922-03-29,0.0612,75313,
0.42,1922,996,['Ignacio Corsini'],0.53,164653,0.0468,0,56GdrUlLtRUtcF4afPH40o,937,3,0.0982,-24856,0,Remembranza - Remasterizado,0,1922-03-29,0.0853,129602,
138,1922,0.14400000000000002,['Uli'],644,104400,684,0,598LlBn6jpEpVbLjmZPsYV,802,7,0.0847,-8247,1,Graphite,0,1922-02-22,199,100031,
0.8079999999999999,1922,984,['Georgius'],625,192933,0.35,0,5P35CyOEQiMqf8Hd6Pty5p,0.0,10,0.0988,-15916,1,Méfiez Vous D'anatole,0,1922,312,81567,
564,1922,995,['Ignacio Corsini'],0.43,151027,155,0,5PJCXNLtJSB3XerASHg7eA,952,1,202,-26685,0,Ensueño de Oro - Remasterizado,0,1922-03-29,116,96.58,
515,1922,996,['Ignacio Corsini'],366,159800,0.0749,0,5cUFFY2Atw4QeFitueQCt2,924,7,117,-26.34,1,El Huerfano - Remasterizado,0,1922-03-29,0.0806,90969,
481,1922,995,['Mistinguett'],511,208267,206,0,5d5gQxHwYovxR5pqETOIAa,0.0,0,418,-15514,1,J'en Ai Marre,0,1922,0.0592,70443,
0.34700000000000003,1922,995,['Ignacio Corsini'],496,139760,158,0,5kAxzo7Dog9Buovp3xXVO7,638,8,206,-18494,1,Nostalgia - Remasterizado,0,1922-03-29,0.0423,79.87100000000002,
528,1922,0.98,['Ignacio Corsini'],422,179813,561,0,5wfVO3v2ZiWmQvJuRgJANe,3.41e-06,5,966,-18573,0,Monigote - Remasterizado,0,1922-03-21,461,121542,
0.5870000000000001,1922,996,['Ignacio Corsini'],493,158587,0.0997,0,5wg1nnx7c2kri8kx5xlCFH,481,5,192,-23446,1,El Beso de la Muerte - Remasterizado,0,1922-03-21,0.0607,127023,
0.67,1922,996,['Jeanne Saint Bonnet'],0.6559999999999999,120760,0.28300000000000003,0,63IcPgVIW0PWeJTaIY7GCu,0.0059700000000000005,4,155,-14113,1,Le Petit Amant,0,1922,191,126085,
312,1922,985,['Ignacio Corsini'],313,186200,102,0,69mWzKmxFFwIAJS8nzcCgO,0.97,10,102,-30026,0,Recuerdo Criollo - Remasterizado,0,1922-03-29,0.0436,67575,
509,1922,0.98,['Ignacio Corsini'],425,178373,308,0,6E4t6Sor5rWOLQDCAdI0vN,0.0,1,631,-21085,0,Despedida - Remasterizado,0,1922-03-29,0.0534,64738,
412,1922,474,['Uli'],0.6509999999999999,172803,574,0,6MD9XSLD4VmVI5SFRPm6By,713,10,0.0597,-11999,0,Car Loans,0,1922-02-22,104,99878,
255,1922,992,['Ignacio Corsini'],0.32299999999999995,164320,106,0,6eew1OP57TeUDUMcjYE6A0,918,8,182,-25138,1,La Muchacha - Remasterizado,0,1922-03-29,0.0483,71432,
635,1922,995,['Ignacio Corsini'],476,155253,131,0,6qXSeW8iUiHpbgRiqQO3aJ,929,2,102,-29575,0,Pobre Gaucho - Remasterizado,0,1922-03-29,0.0523,69.40899999999999,
0.5589999999999999,1922,993,['Ignacio Corsini'],0.35700000000000004,172800,244,0,6tl1bsB5SXbsLjOndGiM7Q,0.0455,1,274,-21.2,1,El Poder de Tus Ojos - Remasterizado,0,1922-03-21,0.0478,72.51,
706,1922,995,['Ignacio Corsini'],564,158573,0.17800000000000002,0,7mFmbNkbJjrvDMukkza3OF,921,9,112,-26435,1,Pobre China - Remasterizado,0,1922-03-21,0.0432,60422,
0.5579999999999999,1922,994,['Fortugé'],537,165200,153,0,7p94hrYktZStgIu6TCj3cZ,0.0,8,419,-15217,1,Antoine,0,1922,0.0898,129134,
634,1922,995,['Georgius'],528,187733,343,0,7yWdEDmuqweoRkhZeftRtR,0.0,0,385,-14963,0,Sur La Pointe Des Pieds,0,1922,315,83.2,
901,1923,984,"['Louis Armstrong', 'Earl Hines']",831,161933,262,0,3eMrYc092k7SIJfWJ7oasR,912,8,204,-12386,1,Weather Bird,42,1923,0.0942,104606,
211,1923,996,['Bessie Smith'],614,177133,0.0423,0,2wAfHM7Whz67VFbdanhZlk,0.00293,4,183,-12033,1,Nobody Knows You When You're Down and Out,42,1923,0.0535,89822,
0.13699999999999998,1923,996,['Bessie Smith'],537,206600,0.0443,0,2AZgaYZSwUosJD71J2N2Zo,0.000265,3,152,-16474,0,'Tain't Nobody's Bizness If I Do,29,1923,0.0343,80468,
